Well,Pool,Volume
A1,1,1
A2,1,1
A3,1,1
A4,2,1
A5,2,1
A6,2,2.652344009
A7,3,10
A8,3,10
A9,3,10
A10,4,10
A11,4,10
A12,4,10
B1,1,2.541619011
B2,1,1
B3,1,10
B4,2,1
B5,2,1
B6,2,1
B7,3,10
B8,3,10
B9,3,10
B10,4,10
B11,4,10
B12,4,10
C1,1,1
C2,1,1
C3,1,1.937608991
C4,2,1
C5,2,1
C6,2,2.92890093
C7,3,10
C8,3,10
C9,3,10
C10,4,10
C11,4,10
C12,4,10
D1,1,1.21047057
D2,1,1
D3,1,1
D4,2,1
D5,2,1
D6,2,1.346756001
D7,3,10
D8,3,10
D9,3,10
D10,4,10
D11,4,10
D12,4,10
E1,1,10
E2,1,1
E3,1,2.133902374
E4,2,1.32310135
E5,2,1
E6,2,1
E7,3,10
E8,3,10
E9,3,10
E10,4,10
E11,4,10
E12,4,10
F1,1,1
F2,1,1
F3,1,2.556890821
F4,2,1.000825681
F5,2,6.193868071
F6,2,1
F7,3,10
F8,3,10
F9,3,10
F10,4,10
F11,4,10
F12,4,10
G1,1,10
G2,1,1
G3,1,1.059686863
G4,2,10
G5,2,1
G6,2,10
G7,3,10
G8,3,2.869028834
G9,3,10
G10,4,10
G11,4,10
G12,4,10
H1,1,10
H2,1,1
H3,1,1
H4,2,1
H5,2,2.493454681
H6,2,1
H7,3,10
H8,3,10
H9,3,10
H10,4,10
H11,4,10
H12,4,10
