Well,Pool,Volume
A1,1,10
A2,1,10
A3,1,1
A4,2,1
A5,2,1
A6,2,1
A7,3,1
A8,3,1
A9,3,1
A10,4,1
A11,4,2.394492667
A12,4,1
B1,1,1
B2,1,1
B3,1,1
B4,2,10
B5,2,10
B6,2,1
B7,3,1
B8,3,1
B9,3,1
B10,4,2.030766107
B11,4,1
B12,4,1
C1,1,1
C2,1,1
C3,1,1
C4,2,1
C5,2,1
C6,2,1
C7,3,1
C8,3,1
C9,3,1
C10,4,1
C11,4,1
C12,4,1
D1,1,1
D2,1,1
D3,1,1
D4,2,1
D5,2,1
D6,2,1
D7,3,1
D8,3,1
D9,3,1.727414061
D10,4,1
D11,4,1
D12,4,10
E1,1,1
E2,1,1
E3,1,1.134429949
E4,2,1
E5,2,1
E6,2,1
E7,3,1
E8,3,1
E9,3,1
E10,4,1
E11,4,1
E12,4,1
F1,1,1
F2,1,1
F3,1,1
F4,2,10
F5,2,1
F6,2,1.368784861
F7,3,1
F8,3,1
F9,3,1
F10,4,1
F11,4,1
F12,4,1
G1,1,10
G2,1,1
G3,1,1
G4,2,1
G5,2,10
G6,2,1
G7,3,1
G8,3,1
G9,3,1
G10,4,1
G11,4,1
G12,4,3.826286589
H1,1,10
H2,1,1
H3,1,10
H4,2,1
H5,2,1
H6,2,1
H7,3,1
H8,3,1
H9,3,1
H10,4,1
H11,4,1
H12,4,1
