Well,Pool,Volume
A1,1,1
A2,1,1
A3,1,2.765677937
A4,2,3.70096225
A5,2,6.039559112
A6,2,10
A7,3,1
A8,3,1
A9,3,1
A10,4,1.377078528
A11,4,2.338770976
A12,4,1.754078232
B1,1,1
B2,1,1
B3,1,1
B4,2,7.496251874
B5,2,1
B6,2,1
B7,3,1
B8,3,1
B9,3,1
B10,4,10
B11,4,1
B12,4,1.247816321
C1,1,1
C2,1,1
C3,1,1.031273365
C4,2,1
C5,2,1
C6,2,1
C7,3,1
C8,3,1
C9,3,1
C10,4,1
C11,4,1
C12,4,1
D1,1,1
D2,1,1
D3,1,1
D4,2,1.824234961
D5,2,1
D6,2,1
D7,3,1.726519337
D8,3,1
D9,3,1.540891406
D10,4,10
D11,4,10
D12,4,1.00010001
E1,1,1.874150775
E2,1,1
E3,1,1
E4,2,1.244671251
E5,2,1
E6,2,1
E7,3,10
E8,3,1
E9,3,1
E10,4,1.387395512
E11,4,1
E12,4,2.679528403
F1,1,1
F2,1,1
F3,1,1
F4,2,1.385377342
F5,2,1
F6,2,1.870120155
F7,3,1
F8,3,1
F9,3,1
F10,4,1.427704608
F11,4,1
F12,4,10
G1,1,1
G2,1,1
G3,1,1
G4,2,1
G5,2,1.816282977
G6,2,1
G7,3,7.774538387
G8,3,1
G9,3,10
G10,4,1
G11,4,1
G12,4,1
H1,1,1
H2,1,1
H3,1,10
H4,2,1
H5,2,1
H6,2,1
H7,3,9.01306895
H8,3,1
H9,3,1
H10,4,1
H11,4,10
H12,4,10
